"物流太慢,几十天没到货",物流问题,"您好,我们正在梳实物流轨迹,会第一时间同步进度给您."
"物流太慢,几十天没到货",物流问题,"您好,我们正在梳实物流轨迹,会第一时间同步进度给您."
"物流太慢,几十天没到货",物流问题,"您好,我们正在梳实物流轨迹,会第一时间同步进度给您."
"物流太慢,几十天没到货",物流问题,"您好,我们正在梳实物流轨迹,会第一时间同步进度给您."
物流太慢几十天没到货,物流问题,"您好,我们正在梳实物流轨迹,会第一时间同步进度给您."
退款申请提交半个月没到账,退款问题,"您好,正在查询退款进度,财务对账后原路退回,预计1-3个工作日到账"
快递包装挤压破损,物流问题,"您好,我们正在梳实物流轨迹,会第一时间同步进度给您."
产品收到有开裂瑕疵,产品质量问题,"您好,产品质量问题我们高度重视,支持免费换新+运费全包.稍后售后对接方案"
客服电话一直打不通没人接,其它问题,"您好,您的诉求已完整记录.专员会在工作时间内联系您处理"
退款一直没有消息,退款问题,"您好,正在查询退款进度,财务对账后原路退回,预计1-3个工作日到账"
质量太差用了两天就坏了,产品质量问题,"您好,产品质量问题我们高度重视,支持免费换新+运费全包.稍后售后对接方案"
物流太慢几十天没到货,物流问题,"您好,我们正在梳实物流轨迹,会第一时间同步进度给您."
退款申请提交半个月没到账,退款问题,"您好,正在查询退款进度,财务对账后原路退回,预计1-3个工作日到账"
快递包装挤压破损,物流问题,"您好,我们正在梳实物流轨迹,会第一时间同步进度给您."
产品收到有开裂瑕疵,产品质量问题,"您好,产品质量问题我们高度重视,支持免费换新+运费全包.稍后售后对接方案"
客服电话一直打不通没人接,其它问题,"您好,您的诉求已完整记录.专员会在工作时间内联系您处理"
退款一直没有消息,退款问题,"您好,正在查询退款进度,财务对账后原路退回,预计1-3个工作日到账"
质量太差用了两天就坏了,产品质量问题,"您好,产品质量问题我们高度重视,支持免费换新+运费全包.稍后售后对接方案"
物流太慢几十天没到货,物流问题,"您好,我们正在梳实物流轨迹,会第一时间同步进度给您."
退款申请提交半个月没到账,退款问题,"您好,正在查询退款进度,财务对账后原路退回,预计1-3个工作日到账"
快递包装挤压破损,物流问题,"您好,我们正在梳实物流轨迹,会第一时间同步进度给您."
产品收到有开裂瑕疵,产品质量问题,"您好,产品质量问题我们高度重视,支持免费换新+运费全包.稍后售后对接方案"
客服电话一直打不通没人接,其它问题,"您好,您的诉求已完整记录.专员会在工作时间内联系您处理"
退款一直没有消息,退款问题,"您好,正在查询退款进度,财务对账后原路退回,预计1-3个工作日到账"
质量太差用了两天就坏了,产品质量问题,"您好,产品质量问题我们高度重视,支持免费换新+运费全包.稍后售后对接方案"
物流太慢几十天没到货,物流问题,"您好,我们正在梳实物流轨迹,会第一时间同步进度给您."
退款申请提交半个月没到账,退款问题,"您好,正在查询退款进度,财务对账后原路退回,预计1-3个工作日到账"
快递包装挤压破损,物流问题,"您好,我们正在梳实物流轨迹,会第一时间同步进度给您."
产品收到有开裂瑕疵,产品质量问题,"您好,产品质量问题我们高度重视,支持免费换新+运费全包.稍后售后对接方案"
客服电话一直打不通没人接,其它问题,"您好,您的诉求已完整记录.专员会在工作时间内联系您处理"
退款一直没有消息,退款问题,"您好,正在查询退款进度,财务对账后原路退回,预计1-3个工作日到账"
质量太差用了两天就坏了,产品质量问题,"您好,产品质量问题我们高度重视,支持免费换新+运费全包.稍后售后对接方案"
物流太慢几十天没到货,物流问题,"您好,我们正在梳实物流轨迹,会第一时间同步进度给您."
退款申请提交半个月没到账,退款问题,"您好,正在查询退款进度,财务对账后原路退回,预计1-3个工作日到账"
快递包装挤压破损,物流问题,"您好,我们正在梳实物流轨迹,会第一时间同步进度给您."
产品收到有开裂瑕疵,产品质量问题,"您好,产品质量问题我们高度重视,支持免费换新+运费全包.稍后售后对接方案"
客服电话一直打不通没人接,其它问题,"您好,您的诉求已完整记录.专员会在工作时间内联系您处理"
退款一直没有消息,退款问题,"您好,正在查询退款进度,财务对账后原路退回,预计1-3个工作日到账"
质量太差用了两天就坏了,产品质量问题,"您好,产品质量问题我们高度重视,支持免费换新+运费全包.稍后售后对接方案"
物流太慢了,物流问题,"您好,我们正在梳实物流轨迹,会第一时间同步进度给您."
破了,其它问题,"您好,您的诉求已完整记录.专员会在工作时间内联系您处理"
